centroide,CoordX,CoordY,S1-III,S1-IV,TS(TL),TS(TC),M1.2,M1.1,G1.1,G1.2,A1.1,A1.2,TL,P,TS(S2)IV,TS(S2)III,TS(S2)V,S1-V,CN,S1-VII,M2.1,M2.2,TS(S2)VI
Ta_3,5586668.576,5835540.687,,,,,,,,,,,,27,,,,,,,,,
Tdf_1,5548697.375,5895328.02,,,,,,,,,,,,,,,,,60,,,,
TArr_1,5454654.272,5794869.125,,,,,,,,,,,,30,,,,,,,,,
TEs_1,5554372.113,5834191.695,,,,,,,,,,,,22,,,,,,,,,
TEs_2,5547672.489,5886957.601,,,,,,,,,,,,18,,,,,,,,,
Tri_1,5630870.323,6023395.391,,,,,,,,,,,,-53,,,,,,,,,
Tyu_1,5592563.159,6011810.037,,,,,,,,,,,,,,,,,10,,,,
Tyu_2,5605471.903,6031288.512,,,,,,,,,,,,,,,,,3,,,,
Vi_1,5546784.341,5976523.871,,,,,,,,,,,,,,,,,-17,,,,
Vi_2,5649155.566,5984225.57,,,,,,,,,,,,,,,,,-16,,,,
Vi_3,5594070.212,5989540.018,,,,,,,,,,,,,,,,,8,,,,
Vi_4,5596504.305,6013134.727,,,,,,,,,,,,,,,,,7,,,,
VD_1,5605825.835,5994887.103,,,,,,,,,,,,,,,,,16,,,,
VD_2,5593068.572,6025118.578,,,,,,,,,,,,,,,,,5,,,,
VM_1,5536745.878,6112761.855,,,,,,,,,,,,,,,,,-51,,,,
VM_2,5574190.211,6095065.568,,,,,,,,,,,,,,,,,-50,,,,
VM_3,5488951.391,6138875.686,,,,,,,,,,,,,,,,,-46,,,,
VM_4,5572039.025,6088430.717,,,,,,,,,,,,,,,,,-2,,,,
VM_5,5506648.313,6117084.135,,,,,,,,,,,,,,,,,-34,,,,
VM_6,5531162.55,6123960.318,,,,,,,,,,,,,,,,,-46,,,,
A100-30_29,5245349.952,5704234.88,-14,,,,-12,-8,-9,-23,,,,,,,,,3,,,,
A100-30_1,5285481.229,5465873.419,-28,,,,-27,-26,-26,-33,,,,,,,,,-22,,,,
AF100-35_1,5229779.639,5585102.238,-33,,,,-35,-35,-35,-37,,,,,,,,,-30,,,,
AF100-30_1,5233474.516,5538449.361,-32,,,,-34,-34,-34,-36,,,,,,,,,-28,,,,
AF100-30_4,5260071.93,5708063.932,-11,,,,-10,-8,-8,-21,,,,,,,,,4,,,,
AF100-30_2,5255275.104,5659371.822,-16,,,,-17,-15,-15,-24,,,,,,,,,-4,,,,
ArL100-40_1,5730489.888,6087877.466,,-33,,,-43,-40,-40,-43,,,,-53,-17,,,,,,,,
F100-0_1,5304582.023,5687783.2,,,,,,,,,,,,,,,,,-11,,,,
F100-30_1,5304662.623,5642035.807,-28,,,,-35,-35,-35,-39,,,,,,,,,-23,,,,
F100-30_2,5299828.434,5518474.571,,,,,,,,,,,,,,,,,-50,,,,
F100-40_22,5409638.081,5957120.18,,-15,,,-24,-17,-16,-26,,,,-37,0,,,,,,,,
F100-35_22,5370372.031,5907048.435,11,,,,-1,-1,5,1,,,,-7,,40,,,,,,,
F100-35_36,5445082.314,5844589.584,43,,,,29,29,40,29,,,,22,,77,,,,,,,
F100-35_25,5243963.189,6190756.179,,,,,-14,,,,,,,-43,,,-18,-26,,,-20,,
F100-35_41,5538349.001,5982664.776,-6,,,,-19,-19,-12,-19,,,,-26,,25,,,,,,,
F100-55_10,5329544.227,5719554.041,-20,,,,-27,-28,-28,-32,,,,-40,,,,,,,,,
F100-55_11,5637372.454,5851836.925,60,,,,50,51,62,49,,,,41,,76,,,,,,,
F100-50_10,5413688.876,6012415.097,,-13,,,-21,-13,-12,-23,,,,-32,2,,,,,,,,
F100-35_29,5402222.967,5959543.797,,-15,,,-24,-17,-16,-26,,,,-37,0,,,,,,,,
F100-40_9,5259276.041,5781924.605,-16,,,,-24,-25,-25,-27,,,,-34,,,,,,,,,
F100-55_8,5405043.564,5710348.419,29,,,,17,16,23,19,,,,9,,59,,,,,,,
F100-35_24,5365346.995,5863387.349,18,,,,6,6,12,8,,,,0,,47,,,,,,,
F100-50_15,5667768.854,6010615.516,,-18,,,-27,-21,-22,-29,,,,-39,-2,,,,,,,,
F100-50_16,5628054.574,6083223.688,,-18,,,-27,-21,-21,-29,,,,-39,-1,,,,,,,,
F100-40_24,5237586.423,6131937.636,,,,,-25,,,,,,,-49,,,-25,-34,,,-28,,
F100-30_3,5288725.219,5578609.134,-52,,,,-56,-57,-57,-57,,,,,,,,,-51,,,,
F100-55_9,5373009.535,6182900.723,,,,,-24,,,,,,,-49,,,-28,-35,,,-30,,
F100-55_37,5245126.835,6180043.975,,,,,-24,,,,,,,-49,,,-23,-33,,,-26,,
F100-35_26,5589401.898,5999768.953,7,,,,-5,-5,4,-5,,,,-11,,38,,,,,,,
F100-35_27,5582188.556,6050917.846,,-7,,,-13,-8,-6,-15,,,,-28,9,,,,,,,,
F100-40_25,5567318.604,5831050.015,56,,,,44,45,56,43,,,,36,,76,,,,,,,
F100-40_13,5352985.419,6122227.136,,,,,-24,,,,,,,-48,,,-27,-34,,,-29,,
F100-40_16,5694062.948,5826909.904,73,,,,66,68,79,65,,,,59,,82,,,,,,,
F100-50_12,5436064.151,6057289.911,,,,,-18,,,,,,,-46,,,-23,-29,,,-25,,
F100-35_28,5464389.365,5920832.831,25,,,,11,12,23,11,,,,7,,54,,,,,,,
F100-40_14,5323755.985,6036613.839,,,,,-36,,,,,,,-56,,,-37,-45,,,-39,,
F100-40_15,5262842.584,5861106.024,,-17,,,-19,-17,-14,-23,,,,-28,11,,,,,,-12,,
F100-30_13,5783911.173,5944384.182,50,,,,38,39,50,37,,,,35,,72,,,,,,,
F100-55_12,5603942.929,5914217.908,40,,,,28,29,41,27,,,,20,,59,,,,,,,
F100-40_10,5255219.105,6006043.329,,-23,,,-26,-24,-22,-31,,,,-36,5,,,,,,-17,,
F100-50_13,5433169.533,5719969.185,41,,,,28,28,36,30,,,,20,,74,,,,,,,
F100-30_4,5276242.52,5482169.678,-46,,,,-49,-50,-49,-53,,,,,,,,,-45,,,,
F100-50_14,5739326.905,5883735.415,53,,,,42,44,55,41,,,,41,,73,,,,,,,
FA100-35_36,5259840.778,6169107.298,,,,,-22,,,,,,,-44,,,-26,-33,,,-28,,
FA100-30_27,5271802.178,5613772.358,-26,,,,-30,-30,-30,-36,,,,,,,,,-18,,,,
FA100-30_11,5378926.874,5993171.54,,-19,,,-24,-17,-16,-26,,,,-34,-8,,,,,,,,
FA100-30_7,5371617.169,5974599.181,,-19,,,-25,-18,-17,-27,,,,-35,-9,,,,,,,,
FA100-30_34,5303181.205,5907014.832,,10,,,7,9,11,5,,,,1,28,,,,,,13,,
FA100-30_35,5733084.67,6002542.679,,-5,,,-10,-1,-2,-13,,,,-21,3,,,,,,,,
FA100-35_35,5212162.247,6104997.335,,,,,-21,,,,,,,-43,,,-25,-32,,,-27,,
FA100-35_1,5214753.44,5587599.641,-48,,,,-53,-53,-53,-53,,,,,,,,,-47,,,,
FA100-50_12,5376671.713,6170252.382,,,,,-18,,,,,,,-41,,,-25,-30,,,-27,,
FA100-35_33,5528313.773,6073621.129,,-12,,,-17,-11,-9,-19,,,,-28,-1,,,,,,,,
FA100-50_15,5355721.126,6126251.296,,,,,-21,,,,,,,-43,,,-27,-32,,,-28,,
FA100-35_47,5732375.119,5838236.899,58,,,,56,59,66,56,,,,55,,64,,,,,,,
FA100-50_16,5463865.077,6061393.323,,,,,-16,,,,,,,-41,,,-26,-30,,,-27,,
FA100-40_6,5354701.951,6058247.802,,,,,-30,,,,,,,-49,,,-36,-42,,,-38,,
FA100-35_34,5276915.202,5890975.333,,-20,,,-22,-18,-15,-26,,,,-28,-1,,,,,,-17,,
FA100-30_31,5747914.221,6072387.359,,-21,,,-27,-21,-21,-30,,,,-36,-10,,,,,,,,
FA100-30_8,5258137.551,5999357.406,,-27,,,-28,-25,-23,-33,,,,-35,-8,,,,,,-23,,
FA100-35_3,5221185.75,5542897.54,-47,,,,-51,-51,-51,-52,,,,,,,,,-45,,,,
FA100-35_50,5286333.811,5614631.397,-26,,,,-30,-30,-30,-36,,,,,,,,,-18,,,,
FA100-40_7,5366858.3,6220094.28,,,,,-4,,,,,,,-33,,,-23,-21,,,-23,,
FA100-35_51,5229653.021,5888292.572,,-18,,,-19,-16,-13,-23,,,,-26,3,,,,,,-14,,
FA100-30_2,5199637.448,5903298.165,,-13,,,-14,-10,-7,-19,,,,-21,6,,,,,,-10,,
FA100-35_52,5325112.585,5697291.53,-20,,,,-23,-22,-23,-31,,,,-33,,,,,,,,,
FA100-30_25,5370158.313,5947707.889,,-15,,,-21,-14,-13,-24,,,,-32,-6,,,,,,,,
FA100-30_3,5230465.545,5805824.315,,-19,,,-21,-18,-16,-25,,,,,1,,,,-8,,-16,,
FA100-30_26,5299873.394,5920555.825,,8,,,6,8,11,3,,,,0,28,,,,,,12,,
FA100-30_6,5254805.968,5647525.383,-25,,,,-30,-30,-29,-36,,,,,,,,,-17,,,,
FA100-35_37,5259759.894,5900624.96,,-20,,,-21,-17,-15,-25,,,,-27,0,,,,,,-17,,
FA100-30_9,5233877.441,5944214.883,,-27,,,-29,-26,-24,-33,,,,-36,-8,,,,,,-23,,
FA100-35_54,5249270.546,5519713.245,-48,,,,-51,-51,-51,-52,,,,,,,,,-46,,,,
FA30-35_2,5212117.541,5874668.648,,-3,,,-2,5,14,-4,,,,-7,-5,,,,,,-8,,
FA30-35_1,5246527.564,5634678.598,-47,,,,-38,-32,-31,-54,,,,,,,,,-24,,,,
