centroide,CoordX,CoordY,S1-III,S1-IV,TS(TL),TS(TC),M1.2,M1.1,G1.1,G1.2,A1.1,A1.2,TL,P,TS(S2)IV,TS(S2)III,TS(S2)V,S1-V,CN,S1-VII,M2.1,M2.2,TS(S2)VI
Gt_3,5490557.449,6128950.961,,,,,,,,,,,,,,,,,26,,,,
Gt_4,5528081.314,6123441.186,,,,,,,,,,,,,,,,,23,,,,
Gw_1,5556374.804,6130684.817,,,,,,,,,,,,,,,,,-17,,,,
Gche_1,5605103.495,6083452.064,,,,,,,,,,,,-24,,,,,,,,,
Gche_2,5617742.838,6054010.331,,,,,,,,,,,,-10,,,,,,,,,
LAb_1,5405420.72,6011257.129,,,,,,,,,,,,-24,,,,,,,,,
LAb_2,5397520.093,5980954.356,,,,,,,,,,,,-25,,,,,,,,,
LAb_3,5562664.16,6063218.577,,,,,,,,,,,,-31,,,,,,,,,
LAb_4,5495497.003,6071960.157,,,,,,,,,,,,-32,,,,,,,,,
LA_1,5619434.008,5818196.251,,,,,,,,,,,,-24,,,,,,,,,
LA_2,5560770.554,5836930.064,,,,,,,,,,,,-23,,,,,,,,,
LA_3,5490683.305,5883179.96,,,,,,,,,,,,-38,,,,,,,,,
LA_4,5588839.054,5846483.482,,,,,,,,,,,,-36,,,,,,,,,
LD_1,5441900.264,5975231.369,,,,,,,,,,,,-49,,,,,,,,,
LD_2,5393348.61,5934465.88,,,,,,,,,,,,-47,,,,,,,,,
LD_3,5377722.836,5910448.188,,,,,,,,,,,,-54,,,,,,,,,
LD_4,5402454.777,5905422.645,,,,,,,,,,,,-55,,,,,,,,,
LD_5,5465217.615,5914441.669,,,,,,,,,,,,-53,,,,,,,,,
LE_1,5549648.555,5978425.316,,,,,,,,,,,,-56,,,,,,,,,
LE_2,5459451.901,5994037.823,,,,,,,,,,,,-57,,,,,,,,,
LE_3,5560279.815,6001674.615,,,,,,,,,,,,-58,,,,,,,,,
LE_4,5463204.009,5972620.763,,,,,,,,,,,,-61,,,,,,,,,
LEs_1,5496605.484,5975747.398,,,,,,,,,,,,,,,,,-1,,,,
LEs_2,5537972.409,5960703.009,,,,,,,,,,,,,,,,,2,,,,
LEs_3,5405497.009,5953791.995,,,,,,,,,,,,,,,,,-3,,,,
LEs_4,5387107.367,5898724.353,,,,,,,,,,,,,,,,,-11,,,,
LEs_5,5428397.507,5927357.412,,,,,,,,,,,,,,,,,-7,,,,
LGn_1,5374931.117,5953047.66,,,,,,,,,,,,,,,,,-39,,,,
LGn_2,5492936.985,6088853.755,,,,,,,,,,,,,,,,,-34,,,,
LGZ_1,5554267.848,5974517.002,,,,,,,,,,,,,,,,,-22,,,,
LGZ_2,5613290.531,6079489.094,,,,,,,,,,,,,,,,,-21,,,,
LGZ_3,5552514.009,6003519.633,,,,,,,,,,,,,,,,,-29,,,,
LGZ_4,5577289.048,6035793.64,,,,,,,,,,,,,,,,,-24,,,,
LL_1,5689332.827,6026341.653,,,,,,,,,,,,-57,,,,,,,,,
LL_2,5576765.743,6039125.239,,,,,,,,,,,,-51,,,,,,,,,
LL_3,5709607.204,6051591.297,,,,,,,,,,,,-57,,,,,,,,,
LMa_1,5543192.966,5795429.084,,,,,,,,,,,,,,,,,-2,,,,
LNE_1,5488856.631,5950629.173,,,,,,,,,,,,-48,,,,,,,,,
LNE_2,5513042.866,5865853.656,,,,,,,,,,,,-20,,,,,,,,,
LNE_3,5463285.975,5945333.179,,,,,,,,,,,,-48,,,,,,,,,
LPa_1,5499650.735,6040497.072,,,,,,,,,,,,,,,,,29,,,,
LPa_2,5449977.91,6005826.182,,,,,,,,,,,,,,,,,27,,,,
LPa_3,5425940.968,5980319.609,,,,,,,,,,,,,,,,,27,,,,
LPa_4,5529475.062,6039151.244,,,,,,,,,,,,,,,,,25,,,,
LPa_5,5478844.016,6037861.794,,,,,,,,,,,,,,,,,22,,,,
LTi_1,5382959.016,5925941.567,,,,,,,,,,,,-8,,,,,,,,,
LTi_2,5370994.955,5912476.534,,,,,,,,,,,,-24,,,,,,,,,
LHe_1,5515425.221,5797044.526,,,,,,,,,,,,13,,,,,,,,,
LHe_2,5384146.156,5805764.201,,,,,,,,,,,,-42,,,,,,,,,
LHe_3,5575173.428,5805878.981,,,,,,,,,,,,-8,,,,,,,,,
LHe_4,5470066.48,5811576.971,,,,,,,,,,,,-3,,,,,,,,,
LMs_1,5365941.393,5897368.945,,,,,,,,,,,,-62,,,,,,,,,
Lo_1,5599404.168,5791410.424,,,,,,,,,,,,,,,,,23,,,,
LM_1,5667182.154,6037183.95,,,,,,,,,,,,,,,,,-63,,,,
LM_2,5620967.058,6092097.686,,,,,,,,,,,,,,,,,-25,,,,
LM_3,5668517.435,6081567.528,,,,,,,,,,,,,,,,,-62,,,,
LM_4,5646740.734,6045435.159,,,,,,,,,,,,,,,,,-64,,,,
LM_5,5675350.684,6049787.615,,,,,,,,,,,,,,,,,-63,,,,
Ma_1,5775665.153,5917042.089,,,,,,,,,,,,,,,,,94,,,,
Ma_2,5778067.432,5914054.673,,,,,,,,,,,,,,,,,94,,,,
MP_1,5619970.972,5805687.433,,,,,,,,,,,,12,,,,,,,,,
MP_2,5691135.157,5803455.437,,,,,,,,,,,,21,,,,,,,,,
MP_3,5593309.642,5865305.473,,,,,,,,,,,,-8,,,,,,,,,
MP_4,5733124.513,5906262.032,,,,,,,,,,,,60,,,,,,,,,
Me_1,5565979.836,5798201.509,,,,,,,,,,,,10,,,,,,,,,
Me_2,5575544.596,5804709.773,,,,,,,,,,,,9,,,,,,,,,
Min_1,5532104.905,5922055.767,,,,,,,,,,,,,,,,,-49,,,,
Min_2,5485479.018,5919277.002,,,,,,,,,,,,,,,,,-57,,,,
Mo_1,5537292.321,6112761.276,,,,,,,,,,,,-29,,,,,,,,,
Mo_2,5533985.517,6123396.156,,,,,,,,,,,,-25,,,,,,,,,
Mrs_1,5382425.163,6156534.541,,,,,,,,,,,,,,,,,8,,,,
Mrs_2,5374026.348,6112868.676,,,,,,,,,,,,,,,,,9,,,,
NP_1,5631754.124,5820035.889,,,,,,,,,,,,,,,,,33,,,,
NP_2,5411437.784,5927297.621,,,,,,,,,,,,,,,,,7,,,,
NP_3,5446710.252,5926741.784,,,,,,,,,,,,,,,,,-2,,,,
No_1,5443388.618,6069355.244,,,,,,,,,,,,-49,,,,,,,,,
Or_1,5490217.023,6068120.118,,,,,,,,,,,,-17,,,,,,,,,
Pl_1,5735481.232,6038631.519,,,,,,,,,,,,-14,,,,,,,,,
Po_1,5665892.279,6116047.653,,,,,,,,,,,,-18,,,,,,,,,
Que_1,5514236.404,5952901.018,,,,,,,,,,,,,,,,,-55,,,,
Que_2,5471836.742,5900124.24,,,,,,,,,,,,,,,,,-60,,,,
RG_1,5382038.842,5822044.804,,,,,,,,,,,,-38,,,,,,,,,
RG_2,5370736.258,5825613.099,,,,,,,,,,,,-38,,,,,,,,,
Rch_1,5547509.179,5919002.807,,,,,,,,,,,,-38,,,,,,,,,
Rch_2,5573071.822,5951228.252,,,,,,,,,,,,-38,,,,,,,,,
Rch_3,5616915.071,5957980.735,,,,,,,,,,,,-38,,,,,,,,,
Rch_4,5576803.947,5901804.772,,,,,,,,,,,,-41,,,,,,,,,
Sa_1,5562144.095,6065197.524,,,,,,,,,,,,-12,,,,,,,,,
Sa_2,5463560.926,6057732.512,,,,,,,,,,,,-13,,,,,,,,,
SGb_1,5490343.148,5795463.965,,,,,,,,,,,,,,,,,8,,,,
SGb_2,5542551.209,5803659.385,,,,,,,,,,,,,,,,,15,,,,
SGb_3,5435134.182,5798464.386,,,,,,,,,,,,,,,,,-40,,,,
SGb_4,5562155.411,5812991.145,,,,,,,,,,,,,,,,,1,,,,
SGb_5,5426033.48,5821994.154,,,,,,,,,,,,,,,,,-36,,,,
SLB_1,5644830.101,6092711.111,,,,,,,,,,,,,,,,,-6,,,,
SLB_2,5655267.688,6090400.662,,,,,,,,,,,,,,,,,-11,,,,
SRi_1,5501335.326,6008214.264,,,,,,,,,,,,,,,,,-10,,,,
SRi_2,5454922.978,6037023.391,,,,,,,,,,,,,,,,,-19,,,,
SRi_3,5378672.456,5950709.357,,,,,,,,,,,,,,,,,-11,,,,
SRi_4,5538255.895,6061814.647,,,,,,,,,,,,,,,,,-18,,,,
SRi_5,5430801.175,6043433.585,,,,,,,,,,,,,,,,,-16,,,,
Se_1,5475204.638,6121341.206,,,,,,,,,,,,-22,,,,,,,,,
SCh_1,5507156.424,5919400.062,,,,,,,,,,,,-33,,,,,,,,,
SCh_2,5488993.068,5918706.647,,,,,,,,,,,,-41,,,,,,,,,
SP_1,5526247.112,5896602.452,,,,,,,,,,,,,,,,,-30,,,,
SP_2,5627319.248,5810289.996,,,,,,,,,,,,,,,,,-18,,,,
SP_3,5557061.609,5840380.146,,,,,,,,,,,,,,,,,-18,,,,
SP_4,5686235.823,5798873.695,,,,,,,,,,,,,,,,,-19,,,,
SP_5,5449646.272,5927573.229,,,,,,,,,,,,,,,,,-38,,,,
SP_6,5572745.88,5858425.18,,,,,,,,,,,,,,,,,-29,,,,
Ta_1,5590809.955,5800739.013,,,,,,,,,,,,5,,,,,,,,,
Ta_2,5584573.693,5818164.125,,,,,,,,,,,,5,,,,,,,,,
Ta_3,5586668.576,5835540.687,,,,,,,,,,,,-7,,,,,,,,,
Tdf_1,5548697.375,5895328.02,,,,,,,,,,,,,,,,,-1,,,,
TArr_1,5454654.272,5794869.125,,,,,,,,,,,,6,,,,,,,,,
TEs_1,5554372.113,5834191.695,,,,,,,,,,,,9,,,,,,,,,
TEs_2,5547672.489,5886957.601,,,,,,,,,,,,-15,,,,,,,,,
Tri_1,5630870.323,6023395.391,,,,,,,,,,,,-47,,,,,,,,,
Tyu_1,5592563.159,6011810.037,,,,,,,,,,,,,,,,,-5,,,,
Tyu_2,5605471.903,6031288.512,,,,,,,,,,,,,,,,,-5,,,,
Vi_1,5546784.341,5976523.871,,,,,,,,,,,,,,,,,-28,,,,
Vi_2,5649155.566,5984225.57,,,,,,,,,,,,,,,,,-26,,,,
Vi_3,5594070.212,5989540.018,,,,,,,,,,,,,,,,,-24,,,,
