centroide;CoordX;CoordY;S1-III;S1-IV;TS(TL);TS(TC);M1,2;M1,1;G1,1;G1,2;A1,1;A1,2;TL;P;TS(S2)IV;TS(S2)III;TS(S2)V;S1-V;CN;S1-VII;M2,1;M2,2;TS(S2)VI
FL100-50_19;5099680,534;6500861,826;;;;;;51;49;;;;;;;;;39;65;;61;;70
FL100-35_20;5173087,149;6133834,447;;;;;4;14;2;-3;;;;-14;;;42;7;;;35;;
FL100-50_6;5157583,732;6387191,76;;;;;;60;59;;;;;;;;;48;74;;71;;81
FL100-30_1;5099125,767;6162686,212;;;;;2;17;2;-8;;;;-14;;;41;4;;;34;;
FL100-35_21;5218102,952;6270154,852;;;;;10;27;11;-1;;;;-6;;;43;8;;;37;;
FL100-30_5;5268247,204;6450149,004;;;;;16;36;19;2;;;;;;;45;9;29;;38;;
FL100-40_4;5164472,157;6485304,273;;;;;;24;21;;;;;;;;;17;39;;40;;51
FL100-35_19;5125587,876;6333435,216;;;;;;27;25;;;;;;;;;14;41;;37;;48
FL100-35_14;5021620,976;6420280,339;;;;;;20;10;;;;;;;;;14;31;;47;;
FL100-40_14;5244724,341;6561601,641;;;;;;48;47;;;;;;;;;35;61;;59;;68
FL100-55_16;5009182,052;6504106,127;;;;;;70;68;;;;;;;;;63;82;;88;;93
FL100-50_4;5153247,978;6651566,381;;;;;;65;64;;;;;;;;;54;75;;73;;81
FL100-35_15;5047542,391;6279994,194;;;;;;16;12;;;;;-4;;;;10;;;37;;47
FL100-50_7;5182626,65;6151047,04;;;;;13;30;14;2;;;;-3;;;46;10;;;39;;
FL100-50_8;5197421,718;6410466,14;;;;;;36;34;;;;;;;;;25;51;;49;;60
FL100-50_9;5209056,918;6240789,925;;;;;11;27;11;0;;;;-6;;;43;8;;;36;;
FL100-50_10;5238021,551;6376029,074;;;;;24;45;29;10;;;;;;;46;16;37;;40;;
FL100-35_22;5090107,74;6293951,977;;;;;;20;17;;;;;2;;;;9;;;33;;44
FL100-35_39;5003451,995;6518423,101;;;;;;50;47;;;;;;;;;43;63;;75;;86
FL100-35_1;5123885,65;6707639,76;;;;;;71;69;;;;;;;;;61;80;;79;;87
FL100-35_2;5062174,257;6281573,727;;;;;;25;22;;;;;6;;;;16;;;40;;51
FL100-35_31;4989090,753;6598406,542;;;;;;7;6;;;;;;;;;1;16;;28;;42
FL100-50_20;5044211,016;6610710,854;;;;;;45;42;;;;;;;;;37;61;;62;;71
FL100-50_1;4996719,065;6456582,432;;;;;;67;57;;;;;;;;;59;79;;86;;
FL100-50_21;5014433,656;6588219,174;;;;;;42;40;;;;;;;;;36;57;;62;;71
FL100-50_22;5053188,732;6662273,789;;;;;;66;64;;;;;;;;;53;74;;71;;79
FL60-35_1;5266069,32;6445028,554;;;;;0;32;11;-17;;;;;;;26;-15;15;;18;;
m-AF100-40_1;5051423,978;6432817,881;;;;;;;;;;;;;;;;;46;;;;
m-AF100-40_2;5032566,207;6533477,873;;;;;;;;;;;;;;;;;77;;;;
m-AF100-30_1;5056381,857;6162633,18;;;;;;;;;;;;0;;;;;;;;;
m-AF100-30_2;5066047,935;6233282,652;;;;;;;;;;;;7;;;;;;;;;
m-AF20-40_1;5068472,546;6588135,595;;;;;;;;;;;;;;;;;70;;;;
m-AF20-40_2;5075139,094;6496752,241;;;;;;;;;;;;;;;;;77;;;;
m-AF20-40_3;5018490,55;6534364,341;;;;;;;;;;;;;;;;;62;;;;
m-AF20-35_1;5109896,858;6678027,091;;;;;;;;;;;;;;;;;77;;;;
m-AF70-30_1;5064795,942;6618317,129;;;;;;;;;;;;;;;;;70;;;;
m-AF70-30_2;5076397,057;6660627,27;;;;;;;;;;;;;;;;;71;;;;
m-F100-30_1;4967992,65;6556823,385;;;;;;;;;;;;;;;;;16;;;;
m-F20-35_1;5052523,244;6358494,008;;;;;;;;;;;;;;;;;47;;;;
m-F20-40_1;5038634,395;6327056,843;;;;;;;;;;;;;;;;;40;;;;
m-F40-45_1;5044272,323;6354765,03;;;;;;;;;;;;;;;;;34;;;;
m-FA100-35_9;5114910,417;6257894,021;;;;;;;;;;;;4;;;;;;;;;
m-FA100-30_1;5184140,66;6674167,472;;;;;;;;;;;;;;;;;76;;;;
m-FA100-35_1;5041042,236;6272283,503;;;;;;;;;;;;;;;;;36;;;;
m-FA100-35_14;5002730,192;6636282,419;;;;;;;;;;;;;;;;;20;;;;
m-FA100-35_10;5230457,761;6349526,163;;;;;;;;;;;;1;;;;;;;;;
m-FA100-30_2;5184127,228;6598903,498;;;;;;;;;;;;;;;;;70;;;;
m-FA100-35_11;5139152,372;6163569,838;;;;;;;;;;;;-17;;;;;;;;;
m-FA100-35_12;5161780,658;6309174,943;;;;;;;;;;;;-6;;;;;;;;;
m-FA40-30_1;5021866,683;6667233,304;;;;;;;;;;;;;;;;;95;;;;
m-FA60-35_1;5145326,213;6156198,665;;;;;;;;;;;;-11;;;;;;;;;
m-FA60-35_2;5166749,137;6185523,353;;;;;;;;;;;;-17;;;;;;;;;
m-FA70-55_2;5043268,67;6439758,41;;;;;;;;;;;;;;;;;57;;;;
m-FA70-45_2;5044520,226;6509125,162;;;;;;;;;;;;;;;;;75;;;;
m-FL100-40_3;5183409,604;6358597,582;;;;;;;;;;;;;;;;;41;;;;
m-FL100-40_4;5102342,535;6190605,362;;;;;;;;;;;;-9;;;;;;;;;
m-FL100-35_7;5281912,841;6486509,681;;;;;;;;;;;;;;;;;34;;;;
m-FL100-35_8;5232680,287;6542711,66;;;;;;;;;;;;;;;;;61;;;;
m-FL100-40_2;5110357,572;6246784,771;;;;;;;;;;;;4;;;;;;;;;
m-FL100-40_1;5265736,85;6265134,741;;;;;;;;;;;;-15;;;;;;;;;
m-FL100-35_1;5180648,389;6654061,026;;;;;;;;;;;;;;;;;75;;;;
m-FL100-30_2;5126137,386;6154928,252;;;;;;;;;;;;-7;;;;;;;;;
m-FL100-30_3;5148061,364;6209355,85;;;;;;;;;;;;-9;;;;;;;;;
m-FL100-30_1;5219408,38;6677815,046;;;;;;;;;;;;;;;;;75;;;;
m-FL100-35_2;5049853,738;6308030,836;;;;;;;;;;;;;;;;;22;;;;
F100-35_31;5080242,778;6725279,404;;;;;;;;;;;;;;;;;79;103;95;111;
FA100-50_5;5115800,547;6712128,491;;;;;;64;64;;;;;;;;;51;72;;67;;74
FL100-50_23;5053188,732;6662273,789;;;;;;66;64;;;;;;;;;53;74;;71;;79
A100-15_3;4916538,32;6848343,206;;;;;;;;;;;;;;;;;47;64;53;80;
A80-40_1;4944094,02;6810411,457;;;;;;;;;;;;;;;;;57;66;57;81;
AF80-35_1;4886535,606;6860809,366;;;;;;;;;;;;;;;;;60;73;62;87;
F100-55_13;4983156,035;6826125,257;;;;;;;;;;;;;;;;;12;34;23;49;
FA100-75_1;4914733,923;7011842,078;;;;;;;;;;;;;;;;;83;100;94;105;
FArL80-45_1;4993510,894;6740293,663;;;;;;;;;;;;;;;;;17;48;32;68;
m-A100-45_1;4655764,341;7131302,836;;;;;;;;;;;;;;;;;-11;;;;
m-A100-30_23;4866604,611;6863007,018;;;;;;;;;;;;;;;;;53;;;;
m-A100-15_2;4772947,709;6885179,912;;;;;;;;;;;;;;;;;-22;;;;
m-AF80-35_4;4870809,87;6907363,112;;;;;;;;;;;;;;;;;57;;;;
m-AF80-55_2;4790887,802;7187716,717;;;;;;;;;;;;;;;;;92;;;;
m-AF80-55_1;4731970,641;6950770,515;;;;;;;;;;;;;;;;;-34;;;;
m-FA100-75_1;4736460,15;7041116,216;;;;;;;;;;;;;;;;;-37;;;;
m-FA100-65_1;4867241,167;7071505,729;;;;;;;;;;;;;;;;;99;;;;
m-FA70-55_1;4722361,682;7058871,263;;;;;;;;;;;;;;;;;-23;;;;
m-FArL80-45_1;5003672,402;6728706,799;;;;;;;;;;;;;;;;;28;;;;
A80-40_2;4944094,02;6810411,457;;;;;;;;;;;;;;;;;57;66;57;81;
F100-55_14;4983156,035;6826125,257;;;;;;;;;;;;;;;;;12;34;23;49;
F100-55_15;4983156,035;6826125,257;;;;;;;;;;;;;;;;;12;34;23;49;
F100-55_16;4983156,035;6826125,257;;;;;;;;;;;;;;;;;12;34;23;49;
F100-55_17;4983156,035;6826125,257;;;;;;;;;;;;;;;;;12;34;23;49;
m-A100-15_3;4772947,709;6885179,912;;;;;;;;;;;;;;;;;-22;;;;
Ar60-45_1;5369038,27;7223450,426;;;;;;;;41;-6;-4;;;;;;;19;33;43;60;
Ar80-40_1;5258750,812;7189377,267;;;;;;;;39;7;10;;;;;;;33;54;63;76;
F100-35_1;5407765,239;7064326,35;;;;;;;;36;0;3;;;;;;;25;41;49;61;
F100-40_2;5422973,928;7037026,806;;;;;;;;34;-2;1;;;;;;;23;39;46;58;
F100-35_2;5374717,137;7044217,406;;;;;;;;16;-4;-1;;;;;;;16;39;47;58;
F100-40_11;5450950,917;7019261,504;;;;;;;;33;-4;-2;;;;;;;20;34;42;53;
F100-40_12;5485146,143;7042007,552;;;;;;;;30;-4;-1;;;;;;;20;35;42;53;
F100-40_1;5429105,173;7095738,442;;;;;;;;39;1;3;;;;;;;25;39;46;58;
F40-35_1;5343405,349;7090399,515;;;;;;;;-3;-43;-41;;;;;;;-20;-3;8;25;
F60-35_1;5341383,167;7218168,174;;;;;;;;73;15;17;;;;;;;47;59;69;84;
F60-35_2;5336899,992;7186216,245;;;;;;;;20;-25;-23;;;;;;;2;18;28;44;
F60-35_4;5377603,134;7156013,47;;;;;;;;12;-24;-22;;;;;;;1;19;29;44;
F80-40_1;5414638,411;7015090,387;;;;;;;;10;-20;-17;;;;;;;5;26;35;48;
F80-40_2;5351122,584;7017755,313;;;;;;;;11;-16;-13;;;;;;;8;28;37;50;
F80-40_3;5383745,115;7013617,462;;;;;;;;10;-20;-17;;;;;;;5;27;36;50;
F80-35_1;5538891,925;7039094,242;;;;;;;;10;-20;-17;;;;;;;4;23;31;44;
F80-35_4;5583906,706;7046402,915;;;;;;;;8;-21;-18;;;;;;;2;21;30;43;
F80-35_2;5410887,459;7225986,356;;;;;;;;53;9;11;;;;;;;35;48;57;71;
F80-35_5;5627206,071;7014540,409;;;;;;;;16;-25;-23;;;;;;;0;19;28;42;
F80-40_4;5453949,986;7163751,599;;;;;;;;28;-11;-9;;;;;;;13;28;37;50;
F80-40_5;5541260,931;6980155,428;;;;;;;;43;0;3;;;;;;;27;44;53;66;
F80-35_3;5246203,452;7246953,152;;;;;;;;44;11;15;;;;;;;40;62;71;83;
F80-35_6;5243595,727;7186127,677;;;;;;;;44;12;16;;;;;;;40;63;72;85;
FA100-35_53;5629842,112;6982201,225;;;;;;;;44;14;16;;;;;;;34;48;54;63;
FA100-35_42;5626322,906;7019291,853;;;;;;;;13;-19;-17;;;;;;;1;15;22;32;
FA100-35_30;5471310,081;7171074,665;;;;;;;;26;-6;-4;;;;;;;14;26;33;42;
